iter	Logloss
0	0.6664590411
1	0.642843501
2	0.6221344891
3	0.6040073221
4	0.5889882325
5	0.5760363279
6	0.565269449
7	0.5543523517
8	0.5465649849
9	0.5380544063
10	0.5313567459
11	0.5252455966
12	0.5195389356
13	0.5140881053
14	0.5078274718
15	0.5023972334
16	0.4980055926
17	0.4940676205
18	0.4897788297
19	0.4863542353
20	0.4829816185
21	0.4794569431
22	0.4754139403
23	0.4726243601
24	0.469493027
25	0.4668464843
26	0.4646554312
27	0.4618004592
28	0.4600174139
29	0.4578372544
30	0.4559421466
31	0.4536136656
32	0.4512199936
33	0.4491055138
34	0.4472909742
35	0.4457454451
36	0.443808403
37	0.4419108319
38	0.4404991523
39	0.4392617527
40	0.437867154
41	0.4359615965
42	0.4345727929
43	0.4331564981
44	0.4318506017
45	0.4304626779
46	0.4292748387
47	0.4278136828
48	0.4267081313
49	0.4255977917
50	0.4242699026
51	0.4231007434
52	0.4222317602
53	0.4210894285
54	0.4197831404
55	0.4186386643
56	0.4174593668
57	0.4162013802
58	0.4153459418
59	0.4143077691
60	0.4135273291
61	0.4125824755
62	0.4118181282
63	0.4109692112
64	0.4101025174
65	0.4091754314
66	0.4082316575
67	0.4074674298
68	0.4068058133
69	0.4061411441
70	0.4054841371
71	0.4044698194
72	0.4038606044
73	0.4031119009
74	0.4023719963
75	0.4015390933
76	0.4009930986
77	0.4003899244
78	0.3997846988
79	0.3992189184
80	0.398368808
81	0.3978792143
82	0.3970377099
83	0.3963488837
84	0.3957127728
85	0.3953161543
86	0.3946205023
87	0.3939471161
88	0.3933165123
89	0.3926539106
90	0.3919894987
91	0.3914877382
92	0.3908899656
93	0.3902928617
94	0.389769755
95	0.389204527
96	0.3885834869
97	0.3880548447
98	0.3876756946
99	0.3871786231
100	0.3864888744
101	0.385884799
102	0.3854351131
103	0.3849171456
104	0.3844365756
105	0.3839779253
106	0.3834871488
107	0.3830983473
108	0.3826265638
109	0.3820486986
110	0.3816915305
111	0.3811908344
112	0.3807551457
113	0.3802452021
114	0.3798514828
115	0.3793612975
116	0.3787816421
117	0.3782979501
118	0.3779420927
119	0.3775686087
120	0.3771955451
121	0.3768183123
122	0.3764406986
123	0.3760988364
124	0.3756632986
125	0.3752615258
126	0.3749018973
127	0.3746109846
128	0.3742421022
129	0.3738231507
130	0.3735015235
131	0.3732261283
132	0.3728762498
133	0.3724499229
134	0.3721390637
135	0.3717927362
136	0.3714683472
137	0.3711027314
138	0.3707797382
139	0.3702787077
140	0.3697824402
141	0.369450613
142	0.3690818605
143	0.3686805236
144	0.3682736979
145	0.3679563135
146	0.3677382446
147	0.3674081446
148	0.3671142132
149	0.3667650925
150	0.3665095045
151	0.3662836095
152	0.3659992061
153	0.3657162017
154	0.3653872343
155	0.365060482
156	0.3648382189
157	0.3646325588
158	0.364292855
159	0.3640348413
160	0.3636579533
161	0.363278027
162	0.363005625
163	0.3627600631
164	0.3625191137
165	0.3622030813
166	0.3619990061
167	0.3617975394
168	0.3614972101
169	0.3611527989
170	0.3608431612
171	0.3605032668
172	0.3602431862
173	0.3599427551
174	0.3597350933
175	0.359412702
176	0.3591593511
177	0.3589284781
178	0.3585934065
179	0.358391676
180	0.3582523607
181	0.358003789
182	0.3578202044
183	0.3575499543
184	0.357322283
185	0.3570313452
186	0.3567684383
187	0.3565710028
188	0.3563282882
189	0.35605739
190	0.3557756647
191	0.3555273199
192	0.3552280667
193	0.3549802805
194	0.3547878685
195	0.354595819
196	0.3544204703
197	0.3541749212
198	0.3539409742
199	0.3537280583
200	0.3534924515
201	0.3532160749
202	0.3529225647
203	0.352708758
204	0.3525449525
205	0.3523313345
206	0.3521161382
207	0.3519161788
208	0.3515985679
209	0.3514686106
210	0.3512157736
211	0.3510410059
212	0.3507644815
213	0.3505791708
214	0.3502615921
215	0.3500114594
216	0.3498357114
217	0.3496623374
218	0.3494333695
219	0.3492235089
220	0.3490162085
221	0.3488616787
222	0.3486176849
223	0.3483202868
224	0.3481113994
225	0.3479501842
226	0.3477728672
227	0.3475681069
228	0.3473226853
229	0.3470882911
230	0.3469138016
231	0.3466930895
232	0.3464921103
233	0.3462579547
234	0.3460983227
235	0.3458591679
236	0.3456200429
237	0.3454179253
238	0.3452337881
239	0.3449859688
240	0.3446920676
241	0.3445169898
242	0.3442969226
243	0.3440619883
244	0.3438170605
245	0.3436090958
246	0.3434155366
247	0.3432601938
248	0.3430446699
249	0.3428656207
250	0.3427025981
251	0.342521589
252	0.3422921123
253	0.342056243
254	0.3418562906
255	0.341664403
256	0.3415258857
257	0.3412783437
258	0.3410922303
259	0.3408786886
260	0.3406390322
261	0.3404102807
262	0.3402091072
263	0.3400271388
264	0.339846567
265	0.3397161319
266	0.3394825187
267	0.3393255275
268	0.3391494504
269	0.3389713487
270	0.3387812105
271	0.3386018088
272	0.3383501979
273	0.3381885447
274	0.3379487419
275	0.3377395141
276	0.3375121857
277	0.3373203046
278	0.3371014536
279	0.3369286178
280	0.3367822052
281	0.336587184
282	0.336416527
283	0.3362131681
284	0.3360043599
285	0.3358250519
286	0.3356810497
287	0.3354854098
288	0.3352914334
289	0.3350949725
290	0.3348459452
291	0.3346112179
292	0.33443985
293	0.3342808867
294	0.3340958703
295	0.3339718684
296	0.3338182865
297	0.3336316272
298	0.3334245829
299	0.333292393
