iter	Passed	Remaining
0	64	19334
1	71	10603
2	77	7688
3	84	6218
4	90	5333
5	96	4740
6	103	4353
7	111	4065
8	119	3856
9	126	3679
10	134	3534
11	142	3419
12	149	3307
13	157	3207
14	164	3124
15	171	3049
16	179	2984
17	186	2926
18	193	2868
19	201	2819
20	208	2769
21	216	2730
22	223	2691
23	230	2655
24	237	2617
25	245	2583
26	253	2558
27	260	2530
28	268	2506
29	275	2480
30	283	2459
31	290	2434
32	297	2407
33	304	2379
34	310	2353
35	317	2327
36	323	2301
37	330	2279
38	337	2258
39	344	2236
40	350	2215
41	357	2193
42	362	2168
43	369	2150
44	376	2135
45	383	2118
46	390	2103
47	397	2084
48	403	2069
49	410	2051
50	417	2038
51	424	2023
52	431	2012
53	438	1996
54	444	1980
55	451	1965
56	457	1951
57	463	1935
58	470	1922
59	477	1908
60	484	1898
61	490	1884
62	497	1871
63	504	1859
64	510	1846
65	517	1833
66	523	1820
67	530	1809
68	537	1799
69	543	1786
70	550	1775
71	557	1765
72	563	1752
73	570	1742
74	577	1731
75	583	1719
76	590	1710
77	598	1702
78	605	1692
79	612	1683
80	619	1675
81	627	1667
82	634	1658
83	641	1649
84	649	1641
85	655	1632
86	663	1623
87	670	1614
88	678	1607
89	685	1600
90	692	1591
91	699	1582
92	706	1573
93	713	1564
94	721	1556
95	727	1546
96	735	1538
97	742	1529
98	749	1522
99	756	1513
100	764	1505
101	771	1497
102	778	1489
103	785	1480
104	792	1472
105	800	1464
106	807	1456
107	815	1448
108	822	1440
109	830	1433
110	837	1425
111	844	1417
112	851	1409
113	859	1402
114	866	1393
115	874	1386
116	881	1378
117	888	1370
118	895	1362
119	902	1354
120	909	1345
121	916	1337
122	924	1329
123	931	1322
124	939	1315
125	946	1307
126	953	1299
127	961	1291
128	968	1283
129	975	1275
130	982	1267
131	989	1259
132	997	1252
133	1004	1244
134	1011	1236
135	1019	1229
136	1026	1221
137	1033	1213
138	1040	1205
139	1047	1197
140	1054	1189
141	1061	1181
142	1068	1172
143	1074	1163
144	1080	1155
145	1087	1147
146	1094	1139
147	1101	1131
148	1108	1123
149	1115	1115
150	1122	1107
151	1129	1099
152	1136	1091
153	1143	1084
154	1150	1076
155	1158	1069
156	1165	1061
157	1171	1053
158	1178	1044
159	1185	1037
160	1192	1029
161	1199	1021
162	1206	1014
163	1213	1006
164	1221	999
165	1228	991
166	1235	984
167	1243	976
168	1250	969
169	1257	961
170	1265	954
171	1272	946
172	1280	939
173	1287	932
174	1295	925
175	1302	917
176	1310	910
177	1318	903
178	1325	896
179	1333	889
180	1340	881
181	1348	874
182	1355	866
183	1363	859
184	1370	851
185	1377	844
186	1385	837
187	1392	829
188	1399	821
189	1406	814
190	1413	806
191	1420	799
192	1427	791
193	1435	784
194	1442	776
195	1449	769
196	1456	761
197	1464	754
198	1471	747
199	1479	739
200	1486	732
201	1493	724
202	1501	717
203	1509	710
204	1516	702
205	1523	695
206	1530	687
207	1537	680
208	1545	672
209	1552	665
210	1561	658
211	1568	651
212	1575	643
213	1583	636
214	1589	628
215	1597	621
216	1604	613
217	1612	606
218	1619	599
219	1627	591
220	1635	584
221	1643	577
222	1650	569
223	1658	562
224	1665	555
225	1673	547
226	1680	540
227	1688	533
228	1695	525
229	1702	518
230	1709	510
231	1716	503
232	1723	495
233	1730	488
234	1737	480
235	1744	473
236	1751	465
237	1759	458
238	1766	450
239	1773	443
240	1781	436
241	1788	428
242	1795	421
243	1802	413
244	1810	406
245	1818	399
246	1825	391
247	1833	384
248	1841	377
249	1848	369
250	1855	362
251	1862	354
252	1869	347
253	1877	339
254	1884	332
255	1891	325
256	1898	317
257	1905	310
258	1912	302
259	1919	295
260	1926	287
261	1933	280
262	1941	273
263	1947	265
264	1954	258
265	1960	250
266	1967	243
267	1974	235
268	1981	228
269	1988	220
270	1994	213
271	2001	206
272	2008	198
273	2015	191
274	2022	183
275	2030	176
276	2037	169
277	2044	161
278	2051	154
279	2058	147
280	2064	139
281	2071	132
282	2078	124
283	2085	117
284	2091	110
285	2098	102
286	2104	95
287	2111	87
288	2117	80
289	2125	73
290	2134	66
291	2143	58
292	2150	51
293	2157	44
294	2164	36
295	2170	29
296	2177	21
297	2184	14
298	2191	7
299	2197	0
